mean_accI,mean_accRT,mean_accD,stdev_accI,stdev_accRT,stdev_accD
58.899998000000004,58.899998000000004,58.899998000000004,11.570555907129595,11.570555907129595,11.570555907129595
58.899998000000004,58.899998000000004,58.899998000000004,11.570555907129595,11.570555907129595,11.570555907129595
68.5,69.0,68.3999992,3.9510898637098992,3.9157800414902435,3.169297545725193
73.9,74.5,74.5,5.279941077112299,5.54276304943863,5.359311730271176
78.3,78.4,79.1,3.683295625749672,3.921450978627398,2.378141197564929
81.8,82.0,81.8,3.7653389990514503,4.0,3.7058512292499457
84.2,84.0,83.6,2.7406406388125957,2.6666666666666665,2.3190036174568114
86.5,86.2,85.0,2.068278940998476,1.8135294011647258,2.160246899469287
86.8,86.1,85.4,2.780887148615228,2.6853512081497106,2.7162065049951147
87.2,86.7,86.8,3.119829055146024,3.3015148038438356,3.155242550986462
