mean_timeI,mean_timeRT,mean_timeD,stdev_timeI,stdev_timeRT,stdev_timeD
0.00014549999999999999,0.00014549999999999999,0.00014549999999999999,3.2684518931411216e-05,3.2684518931411216e-05,3.2684518931411216e-05
7.48e-05,0.0001492,1.92e-05,1.7306389314675407e-05,2.0826265467753296e-05,3.6757463338907264e-06
7.76e-05,0.0001819,1.74e-05,9.570788891204322e-06,3.170856876828933e-05,2.7968235951204047e-06
6.85e-05,0.00019949999999999997,1.9999999999999998e-05,9.778093429248421e-06,2.889155970559952e-05,5.577733510227171e-06
7.47e-05,0.0002076,1.73e-05,2.7076229837667984e-05,1.1236844159579087e-05,2.5407785333546013e-06
6.78e-05,0.0002701,2.09e-05,1.2127104628338399e-05,5.95771208882515e-05,3.984692933938295e-06
6.78e-05,0.000253,2.09e-05,7.969385867876591e-06,8.781293248212989e-06,4.1217579852399005e-06
7.54e-05,0.0003051,1.9699999999999998e-05,1.3672356539138867e-05,3.8822816887896115e-05,4.056544780420346e-06
8.12e-05,0.0003238,5.07e-05,2.0492817169817222e-05,3.764984875283181e-05,9.68148863668301e-05
7.82e-05,0.0003542,2.08e-05,2.0131788020165743e-05,4.055942142914105e-05,2.8596814119369615e-06
9.33e-05,0.00042919999999999997,2.24e-05,3.355940007409747e-05,0.00018737887939798456,4.42718872423573e-06
7.71e-05,0.00044330000000000004,2.49e-05,1.3461467643281363e-05,7.287592194957125e-05,6.5226102477799814e-06
7.93e-05,0.00047730000000000005,2.5099999999999997e-05,2.4558546826354e-05,6.969305720243747e-05,5.526702854726716e-06
7.89e-05,0.0005299,2.1799999999999998e-05,1.9421923465792753e-05,9.043161934731558e-05,2.6997942308422112e-06
7.97e-05,0.0005747,2.65e-05,1.5818765227834105e-05,8.577366858320928e-05,7.059272861515791e-06
7.81e-05,0.000556,2.5300000000000002e-05,1.2502888555138857e-05,2.1102922388459207e-05,4.715223571935199e-06
7.960000000000001e-05,0.0006349999999999999,2.9900000000000002e-05,1.5349267083479913e-05,0.00012080011037522552,6.789698078707182e-06
8.7e-05,0.0006275,2.7799999999999998e-05,3.21696889771861e-05,1.6965651574087373e-05,6.908931417616861e-06
0.00010120000000000001,0.0007375999999999999,2.81e-05,2.2875508494651846e-05,0.00017165805803657716,6.026792034094277e-06
0.0001082,0.0007803,2.87e-05,5.631419793345982e-05,0.00011070787385427171,5.716448003592597e-06
8.66e-05,0.0008834,2.7799999999999998e-05,1.637884814834873e-05,0.000339736891661114,5.672545969648706e-06
9.38e-05,0.0008829999999999999,2.7300000000000003e-05,2.3073794659743337e-05,0.00010952523808592145,7.4244341348160815e-06
9.47e-05,0.0009154,3.6e-05,2.787691199222436e-05,0.00019417872637798864,1.784501175243223e-05
9.19e-05,0.001057,2.98e-05,1.454074734438823e-05,0.0002765393281253139,5.391351098441527e-06
0.0001015,0.0009702000000000001,3.0900000000000006e-05,3.62560339805666e-05,6.592723261293471e-05,5.820461990063827e-06
9.340000000000001e-05,0.0011757,3.29e-05,2.14019729100951e-05,0.0003018112176694417,5.9712273073092405e-06
0.0001036,0.0011267,2.8499999999999998e-05,2.9473905596495204e-05,0.00012314584848869243,4.624812308503871e-06
9.85e-05,0.0012557,3.3e-05,1.1918706119187417e-05,0.00020378586255620818,7.586537784494029e-06
9.7e-05,0.001306,3.12e-05,1.0697871023920809e-05,0.00024966599910903193,5.633234713140696e-06
0.0001012,0.0012749,3.4500000000000005e-05,1.1073491871231144e-05,0.00013096517772972238,6.485025486114575e-06
0.0001062,0.001354,3.23e-05,2.0746083967823902e-05,0.0001488533954377035,5.49848463972878e-06
9.68e-05,0.0014093,3.4699999999999996e-05,1.4273518603810813e-05,0.00014316350403957315,6.447221623821122e-06
0.00010319999999999999,0.0014402,3.55e-05,1.8884443921445557e-05,9.635789767551203e-05,6.398784606817488e-06
0.0001805,0.0014884,0.0001001,2.673013280924732e-05,5.4008641283903186e-05,9.982762921934768e-06
0.0001786,0.0015521,0.00010499999999999999,5.9774018882231215e-05,6.411179472002188e-05,1.5427248620541512e-05
0.0001766,0.0016987999999999999,0.0001037,2.6965821989243263e-05,0.00016218151696307574,8.219894565422764e-06
0.00019480000000000002,0.0016840000000000002,0.0001162,3.142468951495163e-05,7.747257579298627e-05,2.3341903188138807e-05
0.00019580000000000002,0.0018115,0.0001155,7.132990645974207e-05,0.00014622984191561814,3.890515532819668e-05
0.0002011,0.0020074000000000003,0.0001262,8.2528715541252e-05,0.0002813535537757116,6.498170682755435e-05
0.000184,0.0022922999999999997,0.0001081,3.9916579679793874e-05,0.0007835806772616193,1.351912225947627e-05
0.0001743,0.0020141,0.000108,2.0363638618325998e-05,0.00016441171220783247,7.91622805802528e-06
0.0001894,0.0020831,0.0001102,3.129501202712307e-05,0.0001252042331552731,1.3830722645215933e-05
